X Y Z
66.2007508 0 0
66.2007177 0.0662007397 0
66.2006184 0.132401413 0
66.2004529 0.198601954 0
66.2002212 0.264802297 0
66.1999232 0.331002375 0
66.1995591 0.397202121 0
66.1991288 0.463401471 0
66.1986323 0.529600357 0
66.1980696 0.595798713 0
66.1974407 0.661996474 0
66.1967457 0.728193573 0
66.1959844 0.794389943 0
66.1951569 0.86058552 0
66.1942632 0.926780235 0
66.1933033 0.992974024 0
66.1922772 1.05916682 0
66.191185 1.12535856 0
66.1900265 1.19154917 0
66.1888019 1.25773859 0
66.187511 1.32392675 0
66.186154 1.39011359 0
66.1847308 1.45629904 0
66.1832414 1.52248303 0
66.1816859 1.5886655 0
66.1800641 1.65484638 0
66.1783762 1.7210256 0
66.176622 1.78720311 0
66.1748018 1.85337882 0
66.1729153 1.91955269 0
66.1709627 1.98572463 0
66.1689438 2.05189459 0
66.1668589 2.1180625 0
66.1647077 2.18422829 0
66.1624904 2.25039189 0
66.1602069 2.31655325 0
66.1578573 2.38271228 0
66.1554415 2.44886894 0
66.1529596 2.51502314 0
66.1504115 2.58117484 0
66.1477972 2.64732395 0
66.1451168 2.71347041 0
66.1423703 2.77961416 0
66.1395576 2.84575513 0
66.1366788 2.91189325 0
66.1337338 2.97802846 0
66.1307227 3.0441607 0
66.1276455 3.11028989 0
66.1245021 3.17641596 0
66.1212927 3.24253887 0
66.1180171 3.30865853 0
66.1146753 3.37477488 0
66.1112675 3.44088786 0
66.1077936 3.50699739 0
66.1042535 3.57310342 0
66.1006474 3.63920588 0
66.0969751 3.70530469 0
66.0932367 3.77139981 0
66.0894323 3.83749115 0
66.0855618 3.90357865 0
66.0816251 3.96966225 0
66.0776224 4.03574188 0
66.0735537 4.10181747 0
66.0694188 4.16788896 0
66.0652179 4.23395629 0
66.0609509 4.30001938 0
66.0566179 4.36607817 0
66.0522187 4.43213259 0
66.0477536 4.49818258 0
66.0432224 4.56422807 0
66.0386251 4.630269 0
66.0339618 4.6963053 0
66.0292325 4.76233691 0
66.0244372 4.82836375 0
66.0195758 4.89438576 0
66.0146484 4.96040288 0
66.009655 5.02641503 0
66.0045956 5.09242216 0
65.9994702 5.1584242 0
65.9942787 5.22442108 0
65.9890213 5.29041274 0
65.9836979 5.3563991 0
65.9783085 5.42238011 0
65.9728531 5.4883557 0
65.9673318 5.5543258 0
65.9617445 5.62029034 0
65.9560912 5.68624926 0
65.950372 5.7522025 0
65.9445868 5.81814998 0
65.9387357 5.88409165 0
65.9328186 5.95002743 0
65.9268356 6.01595727 0
65.9207867 6.08188108 0
65.9146719 6.14779882 0
65.9084911 6.2137104 0
65.9022445 6.27961578 0
65.8959319 6.34551487 0
65.8895534 6.41140762 0
65.8831091 6.47729396 0
65.8765989 6.54317382 0
65.8700227 6.60904713 0
65.8633808 6.67491384 0
65.8566729 6.74077387 0
65.8498992 6.80662716 0
65.8430597 6.87247365 0
65.8361543 6.93831326 0
65.829183 7.00414594 0
65.822146 7.06997161 0
65.8150431 7.13579021 0
65.8078744 7.20160167 0
65.8006399 7.26740593 0
65.7933396 7.33320293 0
65.7859735 7.39899259 0
65.7785416 7.46477485 0
65.771044 7.53054965 0
65.7634805 7.59631692 0
65.7558513 7.66207659 0
65.7481564 7.7278286 0
65.7403957 7.79357288 0
65.7325692 7.85930937 0
65.724677 7.925038 0
65.7167192 7.9907587 0
65.7086955 8.05647141 0
65.7006062 8.12217607 0
65.6924512 8.1878726 0
65.6842305 8.25356095 0
65.6759441 8.31924104 0
65.667592 8.38491282 0
65.6591742 8.45057621 0
65.6506908 8.51623114 0
65.6421418 8.58187756 0
65.6335271 8.6475154 0
65.6248468 8.7131446 0
65.6161008 8.77876508 0
65.6072892 8.84437678 0
65.5984121 8.90997963 0
65.5894693 8.97557358 0
65.5804609 9.04115855 0
65.571387 9.10673448 0
65.5622474 9.1723013 0
65.5530424 9.23785895 0
65.5437717 9.30340736 0
65.5344355 9.36894647 0
65.5250338 9.43447621 0
65.5155666 9.49999652 0
65.5060338 9.56550733 0
65.4964356 9.63100857 0
65.4867718 9.69650017 0
65.4770426 9.76198209 0
65.4672479 9.82745424 0
65.4573877 9.89291656 0
65.447462 9.95836899 0
65.4374709 10.0238115 0
65.4274144 10.0892439 0
65.4172925 10.1546663 0
65.4071051 10.2200785 0
65.3968523 10.2854805 0
65.3865341 10.3508722 0
65.3761506 10.4162535 0
65.3657016 10.4816244 0
65.3551873 10.5469849 0
65.3446077 10.6123348 0
65.3339627 10.6776741 0
65.3232523 10.7430027 0
65.3124767 10.8083206 0
65.3016357 10.8736276 0
65.2907294 10.9389238 0
65.2797578 11.0042091 0
65.268721 11.0694833 0
65.2576189 11.1347465 0
65.2464515 11.1999985 0
65.2352189 11.2652394 0
65.223921 11.3304689 0
65.2125579 11.3956872 0
65.2011297 11.460894 0
65.1896362 11.5260894 0
65.1780775 11.5912733 0
65.1664536 11.6564456 0
65.1547646 11.7216062 0
65.1430104 11.7867551 0
65.1311911 11.8518922 0
65.1193066 11.9170174 0
65.1073571 11.9821308 0
65.0953424 12.0472321 0
65.0832626 12.1123214 0
65.0711177 12.1773986 0
65.0589078 12.2424636 0
65.0466328 12.3075164 0
65.0342928 12.3725569 0
65.0218877 12.437585 0
65.0094176 12.5026006 0
64.9968825 12.5676038 0
64.9842824 12.6325944 0
64.9716173 12.6975723 0
64.9588873 12.7625376 0
64.9460923 12.8274901 0
64.9332323 12.8924298 0
64.9203074 12.9573565 0
64.9073176 13.0222703 0
64.8942629 13.0871711 0
64.8811432 13.1520589 0
64.8679587 13.2169334 0
64.8547094 13.2817947 0
64.8413952 13.3466428 0
64.8280161 13.4114775 0
64.8145722 13.4762988 0
64.8010635 13.5411066 0
64.78749 13.6059009 0
64.7738517 13.6706816 0
64.7601486 13.7354486 0
64.7463808 13.8002019 0
64.7325482 13.8649413 0
64.7186509 13.9296669 0
64.7046889 13.9943786 0
64.6906622 14.0590763 0
64.6765708 14.1237599 0
64.6624147 14.1884294 0
64.6481939 14.2530847 0
64.6339085 14.3177258 0
64.6195585 14.3823525 0
64.6051438 14.4469649 0
64.5906645 14.5115628 0
64.5761207 14.5761462 0
64.5615123 14.640715 0
64.5468393 14.7052692 0
64.5321017 14.7698087 0
64.5172996 14.8343334 0
64.5024331 14.8988432 0
64.487502 14.9633382 0
64.4725064 15.0278182 0
64.4574463 15.0922832 0
64.4423218 15.1567331 0
64.4271329 15.2211678 0
64.4118795 15.2855873 0
64.3965617 15.3499916 0
64.3811795 15.4143804 0
64.3657329 15.4787539 0
64.350222 15.5431119 0
64.3346467 15.6074543 0
64.3190071 15.6717812 0
64.3033032 15.7360923 0
64.2875349 15.8003878 0
64.2717024 15.8646674 0
64.2558056 15.9289311 0
64.2398445 15.993179 0
64.2238192 16.0574108 0
64.2077297 16.1216266 0
64.191576 16.1858262 0
64.1753581 16.2500097 0
64.159076 16.3141769 0
64.1427297 16.3783278 0
64.1263193 16.4424624 0
64.1098448 16.5065805 0
64.0933062 16.570682 0
64.0767035 16.6347671 0
64.0600367 16.6988354 0
64.0433058 16.7628871 0
64.0265109 16.826922 0
64.009652 16.8909401 0
63.992729 16.9549413 0
63.9757421 17.0189255 0
63.9586912 17.0828928 0
63.9415763 17.1468429 0
63.9243975 17.2107759 0
63.9071547 17.2746917 0
63.8898481 17.3385902 0
63.8724776 17.4024713 0
63.8550432 17.4663351 0
63.8375449 17.5301814 0
63.8199828 17.5940102 0
63.8023569 17.6578214 0
63.7846672 17.7216149 0
63.7669137 17.7853907 0
63.7490964 17.8491487 0
63.7312154 17.9128888 0
63.7132706 17.9766111 0
63.6952622 18.0403154 0
63.67719 18.1040016 0
63.6590542 18.1676697 0
63.6408547 18.2313197 0
63.6225915 18.2949514 0
63.6042648 18.3585648 0
63.5858744 18.4221599 0
63.5674205 18.4857366 0
63.5489029 18.5492947 0
63.5303219 18.6128344 0
63.5116773 18.6763554 0
63.4929692 18.7398577 0
63.4741976 18.8033413 0
63.4553625 18.8668061 0
63.436464 18.930252 0
63.417502 18.993679 0
63.3984766 19.057087 0
63.3793878 19.1204759 0
63.3602357 19.1838457 0
63.3410201 19.2471964 0
63.3217413 19.3105277 0
63.3023991 19.3738398 0
63.2829936 19.4371325 0
63.2635248 19.5004058 0
63.2439928 19.5636595 0
63.2243975 19.6268937 0
63.204739 19.6901083 0
63.1850173 19.7533032 0
63.1652324 19.8164783 0
63.1453844 19.8796336 0
63.1254732 19.9427691 0
63.1054988 20.0058846 0
63.0854614 20.0689801 0
63.0653609 20.1320555 0
63.0451973 20.1951108 0
63.0249707 20.2581458 0
63.004681 20.3211607 0
62.9843284 20.3841552 0
62.9639127 20.4471293 0
62.9434341 20.510083 0
62.9228925 20.5730162 0
62.9022881 20.6359288 0
62.8816207 20.6988207 0
62.8608904 20.761692 0
62.8400973 20.8245425 0
62.8192414 20.8873721 0
62.7983226 20.9501809 0
62.777341 21.0129688 0
62.7562967 21.0757356 0
62.7351895 21.1384813 0
62.7140197 21.201206 0
62.6927871 21.2639094 0
62.6714919 21.3265915 0
62.650134 21.3892523 0
62.6287134 21.4518918 0
62.6072302 21.5145097 0
62.5856844 21.5771062 0
62.564076 21.6396811 0
62.542405 21.7022343 0
62.5206715 21.7647659 0
62.4988755 21.8272756 0
62.477017 21.8897636 0
62.455096 21.9522297 0
62.4331125 22.0146738 0
62.4110666 22.0770959 0
62.3889583 22.1394959 0
62.3667877 22.2018738 0
62.3445546 22.2642294 0
62.3222592 22.3265629 0
62.2999015 22.3888739 0
62.2774815 22.4511626 0
62.2549992 22.5134289 0
62.2324546 22.5756726 0
62.2098478 22.6378938 0
62.1871788 22.7000923 0
62.1644476 22.7622681 0
62.1416543 22.8244212 0
62.1187988 22.8865514 0
62.0958812 22.9486587 0
62.0729015 23.0107431 0
62.0498597 23.0728045 0
62.0267559 23.1348428 0
62.00359 23.196858 0
61.9803622 23.25885 0
61.9570724 23.3208187 0
61.9337206 23.3827641 0
61.9103068 23.4446861 0
61.8868312 23.5065847 0
61.8632937 23.5684598 0
61.8396943 23.6303113 0
61.8160331 23.6921391 0
61.79231 23.7539433 0
61.7685252 23.8157237 0
61.7446786 23.8774804 0
61.7207702 23.9392131 0
61.6968002 24.0009219 0
61.6727684 24.0626067 0
61.648675 24.1242674 0
61.6245199 24.185904 0
61.6003032 24.2475164 0
61.5760248 24.3091046 0
61.551685 24.3706684 0
61.5272835 24.4322079 0
61.5028205 24.493723 0
61.4782961 24.5552135 0
61.4537101 24.6166796 0
61.4290627 24.6781209 0
61.4043539 24.7395377 0
61.3795837 24.8009296 0
61.354752 24.8622968 0
61.3298591 24.9236391 0
61.3049048 24.9849565 0
61.2798892 25.0462489 0
61.2548123 25.1075163 0
61.2296741 25.1687585 0
61.2044748 25.2299756 0
61.1792142 25.2911674 0
61.1538924 25.352334 0
61.1285095 25.4134752 0
61.1030655 25.474591 0
61.0775604 25.5356813 0
61.0519942 25.5967461 0
61.0263669 25.6577853 0
61.0006786 25.7187988 0
60.9749293 25.7797866 0
60.949119 25.8407486 0
60.9232478 25.9016848 0
60.8973157 25.9625951 0
60.8713226 26.0234794 0
60.8452687 26.0843377 0
60.819154 26.14517 0
60.7929784 26.205976 0
60.766742 26.2667559 0
60.7404449 26.3275095 0
60.714087 26.3882368 0
60.6876684 26.4489377 0
60.6611891 26.5096121 0
60.6346492 26.57026 0
60.6080486 26.6308814 0
60.5813874 26.6914761 0
60.5546657 26.7520441 0
60.5278834 26.8125854 0
60.5010405 26.8730999 0
60.4741372 26.9335875 0
60.4471734 26.9940481 0
60.4201491 27.0544818 0
60.3930644 27.1148884 0
60.3659193 27.1752679 0
60.3387139 27.2356202 0
60.3114481 27.2959453 0
60.284122 27.3562431 0
60.2567356 27.4165135 0
60.229289 27.4767565 0
60.2017821 27.5369721 0
60.174215 27.5971601 0
60.1465878 27.6573205 0
60.1189004 27.7174532 0
60.0911529 27.7775583 0
60.0633453 27.8376355 0
60.0354776 27.8976849 0
60.0075499 27.9577065 0
59.9795622 28.0177 0
59.9515145 28.0776656 0
59.9234069 28.137603 0
59.8952394 28.1975124 0
59.8670119 28.2573935 0
59.8387246 28.3172464 0
59.8103774 28.3770709 0
59.7819704 28.4368671 0
59.7535037 28.4966348 0
59.7249772 28.5563741 0
59.696391 28.6160848 0
59.667745 28.6757669 0
59.6390394 28.7354202 0
59.6102742 28.7950449 0
59.5814493 28.8546408 0
59.5525649 28.9142078 0
59.5236209 28.9737459 0
59.4946174 29.033255 0
59.4655544 29.0927351 0
59.436432 29.1521861 0
59.4072501 29.2116079 0
59.3780088 29.2710006 0
59.3487081 29.3303639 0
